row	depth	verdict	method	seconds	max_entry	witness_L0	witness_L1	exact_lp	exact_infeasible	deletions_covered	fp_levels_tried
6110040	19	REALIZABLE	walk	8.68	1024	yes	yes				
6126692	22	REALIZABLE	fresh	1.74	64	yes	yes				
6128130	20	REALIZABLE	walk	4.95	262144	yes	yes				
6159573	21	REALIZABLE	walk	1.99	1024	yes	yes				
6169872	15	REALIZABLE	walk	0.69	64	yes	yes				
6173401	21	REALIZABLE	walk	13.55	16384	yes	yes				
6180535	18	REALIZABLE	walk	13.77	16384	yes	yes				
6181489	21	REALIZABLE	walk	2.37	16384	yes	yes				
6198185	20	REALIZABLE	store_walk	1.33	4096	yes	yes				
6216161	17	REALIZABLE	walk	1.79	1024	yes	yes				
6232905	20	REALIZABLE	fresh	3.68	32	yes	yes				
6241133	20	REALIZABLE	walk	1.02	1024	yes	yes				
6263337	17	REALIZABLE	fresh	1.75	64	yes	yes				
6271695	20	REALIZABLE	walk	6.51	1024	yes	yes				
6297571	19	REALIZABLE	walk	10.93	16384	yes	yes				
6312306	16	REALIZABLE	walk	1.65	512	yes	yes				
6365428	20	REALIZABLE	walk	7.36	16384	yes	yes				
6377516	17	REALIZABLE	walk	51.83	1024	yes	yes				
6389945	17	REALIZABLE	fresh	2.34	64	yes	yes				
6401704	18	REALIZABLE	walk	4.57	1024	yes	yes				
6418717	19	REALIZABLE	store_walk	2.90	1024	yes	yes				
6441311	18	REALIZABLE	walk	6.07	1024	yes	yes				
6455926	18	REALIZABLE	walk	9.01	262144	yes	yes				
6457287	16	REALIZABLE	walk	9.71	1024	yes	yes				
6494535	17	REALIZABLE	walk	3.12	16384	yes	yes				
6501049	17	REALIZABLE	walk	48.03	1024	yes	yes				
6509329	19	REALIZABLE	store_walk	1.35	1024	yes	yes				
6511615	22	REALIZABLE	store	0.95	256	yes	yes				
6543930	19	REALIZABLE	store	0.89	256	yes	yes				
6559976	16	REALIZABLE	store_walk	0.27	256	yes	yes				
6586361	20	REALIZABLE	store	1.23	256	yes	yes				
6627291	17	REALIZABLE	store_walk	1.21	1024	yes	yes				
6627394	18	REALIZABLE	walk	6.31	1024	yes	yes				
6633202	20	REALIZABLE	walk	13.24	1024	yes	yes				
6637551	18	REALIZABLE	walk	1.77	512	yes	yes				
6660961	19	REALIZABLE	walk	2.49	1024	yes	yes				
6695429	16	REALIZABLE	store_walk	0.53	1024	yes	yes				
6704386	20	REALIZABLE	walk	23.24	1024	yes	yes				
6712784	20	REALIZABLE	walk	10.40	16384	yes	yes				
6714423	18	REALIZABLE	walk	26.73	1024	yes	yes				
6734990	21	REALIZABLE	walk	35.86	16384	yes	yes				
6740955	18	REALIZABLE	walk	5.17	16384	yes	yes				
6755885	17	REALIZABLE	walk	13.09	1024	yes	yes				
6768412	20	REALIZABLE	walk	28.70	1024	yes	yes				
6771198	19	REALIZABLE	walk	3.24	16384	yes	yes				
6786910	18	REALIZABLE	store	1.07	256	yes	yes				
6794284	18	REALIZABLE	walk	5.21	64	yes	yes				
6795529	16	REALIZABLE	walk	0.89	16384	yes	yes				
6797578	18	REALIZABLE	fresh	1.48	1024	yes	yes				
6801373	16	REALIZABLE	walk	5.36	16384	yes	yes				
6804432	17	REALIZABLE	walk	1.80	16384	yes	yes				
6832186	19	REALIZABLE	store	1.17	256	yes	yes				
6841782	18	REALIZABLE	walk	16.39	1024	yes	yes				
6842821	19	REALIZABLE	walk	12.57	1024	yes	yes				
6862079	19	REALIZABLE	walk	10.86	64	yes	yes				
6862284	15	REALIZABLE	walk	0.71	1024	yes	yes				
6883171	15	REALIZABLE	store_walk	0.54	64	yes	yes				
6883541	21	REALIZABLE	walk	4.36	1024	yes	yes				
6885585	16	REALIZABLE	walk	4.04	512	yes	yes				
6885994	18	REALIZABLE	walk	3.35	1024	yes	yes				
6888979	18	REALIZABLE	walk	7.86	1024	yes	yes				
6891706	17	REALIZABLE	walk	11.17	1024	yes	yes				
6904353	16	REALIZABLE	walk	24.00	1024	yes	yes				
6913616	22	REALIZABLE	walk	14.10	512	yes	yes				
6928542	16	REALIZABLE	store_walk	0.53	64	yes	yes				
6953817	21	REALIZABLE	walk	25.40	1024	yes	yes				
6957258	20	REALIZABLE	walk	1.57	16384	yes	yes				
6962149	20	REALIZABLE	walk	13.08	16384	yes	yes				
6969448	21	REALIZABLE	store	1.39	64	yes	yes				
7014264	18	REALIZABLE	walk	11.94	1024	yes	yes				
7014892	21	REALIZABLE	walk	8.90	1024	yes	yes				
7022567	22	REALIZABLE	walk	4.79	64	yes	yes				
7030182	18	REALIZABLE	walk	6.56	1024	yes	yes				
7041689	18	REALIZABLE	walk	3.96	1024	yes	yes				
7058639	17	REALIZABLE	walk	3.92	8192	yes	yes				
7062963	21	REALIZABLE	walk	8.94	1024	yes	yes				
7070158	20	REALIZABLE	walk	21.94	16384	yes	yes				
7073614	20	REALIZABLE	walk	48.28	1024	yes	yes				
7079741	17	REALIZABLE	walk	30.98	8192	yes	yes				
7080395	18	REALIZABLE	walk	10.31	8192	yes	yes				
7088631	20	REALIZABLE	walk	9.75	1024	yes	yes				
7091229	17	REALIZABLE	store	1.37	256	yes	yes				
7097231	18	REALIZABLE	store	0.86	64	yes	yes				
7108308	21	REALIZABLE	walk	1.55	16384	yes	yes				
7117317	18	REALIZABLE	walk	2.17	64	yes	yes				
7128998	18	REALIZABLE	store	1.00	1024	yes	yes				
7137310	24	REALIZABLE	fresh	1.34	1024	yes	yes				
7143767	17	REALIZABLE	walk	48.36	1024	yes	yes				
7143916	17	REALIZABLE	walk	3.42	4096	yes	yes				
7208948	17	REALIZABLE	walk	1.46	1024	yes	yes				
7209645	18	REALIZABLE	walk	2.27	1024	yes	yes				
7223024	21	REALIZABLE	walk	1.98	64	yes	yes				
7250611	20	REALIZABLE	walk	11.70	1024	yes	yes				
7268803	15	REALIZABLE	store_walk	0.36	262144	yes	yes				
7284957	23	REALIZABLE	walk	5.51	1024	yes	yes				
7291053	18	REALIZABLE	walk	2.07	8192	yes	yes				
7306091	17	REALIZABLE	fresh	2.22	1024	yes	yes				
7310060	18	REALIZABLE	walk	2.94	16384	yes	yes				
7336929	20	REALIZABLE	walk	5.53	16384	yes	yes				
7338078	16	REALIZABLE	walk	8.88	1024	yes	yes				
7345378	21	REALIZABLE	walk	22.93	64	yes	yes				
7347226	20	REALIZABLE	walk	3.25	1024	yes	yes				
7347848	19	REALIZABLE	walk	8.28	1024	yes	yes				
7348678	17	REALIZABLE	walk	26.11	1024	yes	yes				
7363702	18	REALIZABLE	store_walk	1.26	1024	yes	yes				
7387490	22	REALIZABLE	walk	19.79	1024	yes	yes				
7397977	17	REALIZABLE	walk	2.26	16384	yes	yes				
7420791	20	REALIZABLE	walk	2.92	16384	yes	yes				
7432045	18	REALIZABLE	walk	29.40	256	yes	yes				
7459250	18	REALIZABLE	walk	17.30	1024	yes	yes				
7481173	20	REALIZABLE	fresh	2.43	16384	yes	yes				
7515166	22	REALIZABLE	walk	8.50	16384	yes	yes				
7617933	18	REALIZABLE	walk	0.96	1024	yes	yes				
7651291	18	REALIZABLE	walk	41.61	1024	yes	yes				
7668526	19	REALIZABLE	walk	12.47	1024	yes	yes				
7698446	20	REALIZABLE	walk	49.82	1024	yes	yes				
7732312	18	REALIZABLE	walk	10.69	1024	yes	yes				
7770795	19	REALIZABLE	walk	25.71	16384	yes	yes				
7776099	20	REALIZABLE	walk	25.31	1024	yes	yes				
7781474	17	REALIZABLE	walk	3.95	1024	yes	yes				
7783239	16	REALIZABLE	walk	5.59	1024	yes	yes				
7816209	16	REALIZABLE	walk	34.52	64	yes	yes				
7832252	18	REALIZABLE	walk	46.66	1024	yes	yes				
7898156	18	REALIZABLE	walk	1.57	1024	yes	yes				
7902858	16	REALIZABLE	walk	3.06	1024	yes	yes				
7903688	23	REALIZABLE	fresh	2.20	16384	yes	yes				
7916819	13	REALIZABLE	walk	4.46	262144	yes	yes				
7920230	18	REALIZABLE	walk	3.82	16384	yes	yes				
7958480	18	REALIZABLE	walk	1.93	8192	yes	yes				
7984914	17	REALIZABLE	store	0.93	1024	yes	yes				
7986648	17	REALIZABLE	walk	14.68	262144	yes	yes				
8001604	19	REALIZABLE	walk	13.41	262144	yes	yes				
8002801	23	REALIZABLE	walk	1.73	1024	yes	yes				
8016040	19	REALIZABLE	walk	3.11	262144	yes	yes				
8031476	17	REALIZABLE	walk	4.39	1024	yes	yes				
8031626	17	REALIZABLE	walk	10.82	1024	yes	yes				
8067562	15	REALIZABLE	walk	16.43	1024	yes	yes				
8067581	17	REALIZABLE	walk	2.29	16384	yes	yes				
8127895	16	REALIZABLE	store_walk	0.61	16384	yes	yes				
8138516	19	REALIZABLE	walk	54.23	1024	yes	yes				
8140234	20	REALIZABLE	walk	11.99	1024	yes	yes				
8145146	16	REALIZABLE	walk	11.93	1024	yes	yes				
8157899	17	REALIZABLE	fresh	1.77	1024	yes	yes				
8175918	24	REALIZABLE	walk	5.03	1024	yes	yes				
8185290	18	REALIZABLE	walk	27.70	1024	yes	yes				
8218575	21	REALIZABLE	walk	7.36	262144	yes	yes				
8245156	16	REALIZABLE	walk	0.63	1024	yes	yes				
8251786	18	REALIZABLE	walk	1.99	1024	yes	yes				
8260089	21	REALIZABLE	walk	8.75	1024	yes	yes				
8265580	18	REALIZABLE	walk	8.54	1024	yes	yes				
8271217	20	REALIZABLE	store	0.81	256	yes	yes				
8283784	19	REALIZABLE	fresh	1.96	1024	yes	yes				
8287318	17	REALIZABLE	walk	4.70	1024	yes	yes				
8301399	15	REALIZABLE	walk	2.70	1024	yes	yes				
8306255	20	REALIZABLE	walk	51.84	1024	yes	yes				
8337295	17	REALIZABLE	store	0.68	256	yes	yes				
8362319	17	REALIZABLE	walk	13.92	64	yes	yes				
8372832	15	REALIZABLE	walk	3.38	1024	yes	yes				
8376872	17	REALIZABLE	fresh	1.54	1024	yes	yes				
8392218	21	REALIZABLE	walk	1.23	1024	yes	yes				
8394107	19	REALIZABLE	walk	2.05	1024	yes	yes				
8402751	20	REALIZABLE	walk	31.10	1024	yes	yes				
8404474	23	REALIZABLE	walk	19.99	16384	yes	yes				
8411975	19	REALIZABLE	walk	7.50	262144	yes	yes				
8428610	20	REALIZABLE	store_walk	1.13	16384	yes	yes				
8430431	17	REALIZABLE	store_walk	1.06	1024	yes	yes				
8444963	15	REALIZABLE	walk	13.49	1024	yes	yes				
8445265	21	REALIZABLE	walk	1.39	1024	yes	yes				
8452912	20	REALIZABLE	walk	1.20	16384	yes	yes				
8453352	16	REALIZABLE	walk	17.32	1024	yes	yes				
8460795	18	REALIZABLE	walk	2.67	8192	yes	yes				
8505902	16	REALIZABLE	walk	3.38	1024	yes	yes				
8529503	18	REALIZABLE	walk	6.98	262144	yes	yes				
8541456	15	REALIZABLE	walk	10.07	64	yes	yes				
8545392	17	REALIZABLE	walk	12.61	1024	yes	yes				
8545612	20	REALIZABLE	walk	1.56	1024	yes	yes				
8559272	20	REALIZABLE	walk	8.61	16384	yes	yes				
8603583	14	REALIZABLE	walk	18.02	1024	yes	yes				
8636420	20	REALIZABLE	walk	50.88	1024	yes	yes				
8640746	20	REALIZABLE	walk	21.14	16384	yes	yes				
8684939	19	REALIZABLE	walk	2.23	16384	yes	yes				
8689254	17	REALIZABLE	walk	10.08	1024	yes	yes				
8698279	16	REALIZABLE	walk	12.19	8192	yes	yes				
8705199	21	REALIZABLE	walk	6.54	1024	yes	yes				
8723746	20	REALIZABLE	store	1.49	256	yes	yes				
8741624	19	REALIZABLE	walk	2.01	1024	yes	yes				
8749834	20	REALIZABLE	walk	7.96	1024	yes	yes				
8789238	19	REALIZABLE	walk	1.39	16384	yes	yes				
8792735	19	REALIZABLE	fresh	1.26	1024	yes	yes				
8796224	21	REALIZABLE	walk	2.42	1024	yes	yes				
8866214	22	REALIZABLE	fresh	2.18	16384	yes	yes				
8867071	19	REALIZABLE	walk	1.47	1024	yes	yes				
8882587	18	REALIZABLE	walk	2.18	16384	yes	yes				
8898840	18	REALIZABLE	store	1.04	65536	yes	yes				
8910349	18	REALIZABLE	walk	3.65	1024	yes	yes				
8921342	19	REALIZABLE	walk	4.00	1024	yes	yes				
8924175	16	REALIZABLE	walk	17.52	16384	yes	yes				
8928494	18	REALIZABLE	walk	8.72	16384	yes	yes				
8929110	15	REALIZABLE	walk	3.58	1024	yes	yes				
8931295	18	REALIZABLE	walk	12.22	262144	yes	yes				
8942650	17	REALIZABLE	walk	2.37	262144	yes	yes				
8948682	22	REALIZABLE	walk	1.57	8192	yes	yes				
8956018	19	REALIZABLE	fresh	2.04	8192	yes	yes				
8964644	19	REALIZABLE	walk	37.68	1024	yes	yes				
8975349	17	REALIZABLE	walk	40.56	1024	yes	yes				
9004974	18	REALIZABLE	walk	3.03	512	yes	yes				
9024158	18	REALIZABLE	walk	3.16	262144	yes	yes				
9069175	18	REALIZABLE	walk	1.34	1024	yes	yes				
9072423	21	REALIZABLE	walk	29.53	16384	yes	yes				
9080995	18	REALIZABLE	walk	2.27	1024	yes	yes				
9098969	25	REALIZABLE	walk	12.68	1024	yes	yes				
9111863	18	REALIZABLE	walk	51.25	1024	yes	yes				
9128142	20	REALIZABLE	walk	4.10	16384	yes	yes				
9128143	21	REALIZABLE	store_walk	0.98	16384	yes	yes				
9134243	20	REALIZABLE	walk	5.70	1024	yes	yes				
9180297	23	REALIZABLE	walk	12.39	16384	yes	yes				
9183456	20	REALIZABLE	walk	19.39	1024	yes	yes				
9197921	18	REALIZABLE	store_walk	0.81	64	yes	yes				
9205025	23	REALIZABLE	fresh	1.83	1024	yes	yes				
9239163	18	REALIZABLE	walk	1.34	1024	yes	yes				
9240741	18	REALIZABLE	walk	6.55	1024	yes	yes				
9246277	22	REALIZABLE	store_walk	0.97	4096	yes	yes				
9258244	18	REALIZABLE	walk	2.05	16384	yes	yes				
