stab|0 1,9,8,7,6,5,4,3,2 1 0
stab|0 2,1,9,8,7,6,5,4,3 3 0
stab|0 9,1,2,3,4,5,6,7,8 255 0
stab|0 3,2,1,9,8,7,6,5,4 7 0
stab|0 8,9,1,2,3,4,5,6,7 127 0
stab|0 4,3,2,1,9,8,7,6,5 15 0
stab|0 7,8,9,1,2,3,4,5,6 63 0
stab|0 5,4,3,2,1,9,8,7,6 31 0
stab|0 6,7,8,9,1,2,3,4,5 31 0
stab|0 6,5,4,3,2,1,9,8,7 63 0
stab|0 5,6,7,8,9,1,2,3,4 15 0
stab|0 7,6,5,4,3,2,1,9,8 127 0
stab|0 4,5,6,7,8,9,1,2,3 7 0
stab|0 8,7,6,5,4,3,2,1,9 255 0
stab|0 3,4,5,6,7,8,9,1,2 3 0
stab|0 2,3,4,5,6,7,8,9,1 1 0
stab|0 9,8,7,6,5,4,3,2,1 0 0
