stab|0 1,9,8,7,6,5,4,3,2 1 0
stab|0 2,1,9,8,7,6,5,4,3 3 0
stab|0 9,1,2,3,4,5,6,7,8 255 0
stab|0 3,2,1,9,8,7,6,5,4 7 0
stab|0 8,9,1,2,3,4,5,6,7 127 0
stab|0 4,3,2,1,9,8,7,6,5 15 0
stab|0 7,8,9,1,2,3,4,5,6 63 0
stab|0 5,4,3,2,1,9,8,7,6 31 0
stab|0 6,7,8,9,1,2,3,4,5 31 0
stab|0 6,5,4,3,2,1,9,8,7 63 0
stab|0 5,6,7,8,9,1,2,3,4 15 0
stab|0 7,6,5,4,3,2,1,9,8 127 0
stab|0 4,5,6,7,8,9,1,2,3 7 0
stab|0 8,7,6,5,4,3,2,1,9 255 0
stab|0 3,4,5,6,7,8,9,1,2 3 0
stab|0 2,3,4,5,6,7,8,9,1 1 0
stab|0 9,8,7,6,5,4,3,2,1 0 0
stab|300942 1,3,2,9,8,7,6,5,4 6 0
stab|316961 1,7,6,5,4,3,2,9,8 127 0
stab|325662 7,3,2,6,5,4,1,9,8 71 0
stab|440292 5,3,2,4,1,9,8,7,6 23 0
stab|554145 4,3,2,1,9,7,6,8,5 143 0
stab|578983 9,8,7,5,4,6,3,2,1 32 0
stab|593666 4,8,9,1,7,6,5,2,3 121 0
stab|652895 1,5,4,3,2,9,8,7,6 31 0
stab|723891 7,8,5,4,3,9,1,2,6 195 0
stab|895434 9,8,7,4,6,5,3,2,1 8 0
stab|932102 4,3,2,1,8,7,6,5,9 240 0
stab|964200 9,6,5,4,3,2,8,7,1 62 0
stab|1028254 4,3,2,1,7,6,5,9,8 127 0
stab|1032068 3,2,1,7,8,9,4,5,6 0 0
stab|1032089 7,8,9,3,2,1,6,5,4 0 0
stab|1032089 6,5,4,9,8,7,1,2,3 0 0
stab|1032089 4,5,6,1,2,3,9,8,7 0 0
stab|1128608 7,5,4,3,2,6,1,9,8 95 0
stab|1153740 2,1,9,6,5,4,8,7,3 59 0
stab|1242530 9,8,6,5,4,3,7,2,1 0 0
stab|1590507 4,3,2,1,5,9,8,7,6 31 0
stab|1594869 2,1,8,7,6,5,4,3,9 3 0
stab|1613537 9,2,8,7,6,5,4,3,1 2 0
stab|1663686 9,5,4,3,2,6,8,7,1 30 0
stab|1681105 4,3,2,1,9,7,6,8,5 15 0
stab|1728976 9,3,2,8,7,6,5,4,1 248 0
stab|1801824 7,2,6,5,4,3,1,9,8 125 0
stab|1859126 2,1,4,3,5,9,8,7,6 28 0
stab|1859974 9,8,3,5,4,7,6,2,1 96 0
stab|1875647 2,1,9,5,4,7,6,8,3 27 0
