seed,beta,architecture,d,m,fvu,l0,dead_fraction,gram_penalty,mean_squared_coherence,max_absolute_coherence,factor1_max_positive_cosine,factor1_max_absolute_cosine,factor1_faithful_geometry,factor1_causal_concentration,factor1_causal_participation_ratio,factor1_causal_split_count,factor1_single_gain,factor1_family_gain,factor1_family_norm_ratio,factor1_family_cosine,factor1_nnls_residual,factor1_nnls_cosine,factor2_max_positive_cosine,factor2_max_absolute_cosine,factor2_faithful_geometry,factor2_causal_concentration,factor2_causal_participation_ratio,factor2_causal_split_count,factor2_single_gain,factor2_family_gain,factor2_family_norm_ratio,factor2_family_cosine,factor2_nnls_residual,factor2_nnls_cosine,mean_factor_max_positive_cosine,mean_factor_max_absolute_cosine,mean_factor_causal_concentration,mean_factor_causal_participation_ratio,mean_factor_causal_split_count,mean_factor_single_gain,mean_factor_family_gain,mean_factor_family_norm_ratio,mean_factor_family_cosine,mean_factor_nnls_residual,mean_factor_nnls_cosine,both_faithful_geometry,train_reconstruction_loss_last_batch,train_l1_last_batch,train_gram_last_step,train_total_last_batch,train_gradient_norm_last_batch,wall_seconds
0,0.0,l1,34,68,0.03127788007259369,15.95138888888889,0.0,77.381591796875,0.03396909311413765,0.9990807771682739,0.7118815779685974,0.7385680675506592,False,0.2551423004046452,4.020121810742423,4,0.23258193554662684,0.9112733006477356,0.9126940369606018,0.9984433650970459,0.0,0.9999999996613542,0.7083489298820496,0.7083489298820496,False,0.2614793791019665,4.044538880482445,4,0.2317544481589913,0.8860129714012146,0.8880014419555664,0.9977607131004333,0.0,1.0000000193237484,0.7101152539253235,0.7234584987163544,0.2583108397533058,4.032330345612435,4.0,0.23216819185280907,0.8986431360244751,0.9003477394580841,0.9981020390987396,0.0,1.0000000094925512,False,0.48150983452796936,8.9718656539917,77.3841552734375,2.2758829653263093,0.5577504145841605,6.691524028778076
0,0.025,l1,34,68,0.029155639931559563,19.247222222222224,0.0,38.93751525878906,0.017092851921916008,0.9665089249610901,0.9929476380348206,0.9929476380348206,True,0.9487086818162972,1.1107320394916564,1,0.8186410231694072,0.8624646663665771,0.8638820648193359,0.9983592629432678,0.0,0.9999999996613543,0.9820413589477539,0.9820413589477539,True,0.8798663879207271,1.2789565424835516,1,0.7526584574657587,0.8546676635742188,0.8562685251235962,0.9981304407119751,0.0,1.0000000193237484,0.9874944984912872,0.9874944984912872,0.9142875348685122,1.194844290987604,1.0,0.785649740317583,0.858566164970398,0.8600752949714661,0.9982448518276215,0.0,1.0000000094925514,True,0.5273618102073669,10.510746955871582,38.93701171875,3.602936494350433,0.6821403065563693,6.6078269481658936
0,0.0625,l1,34,68,0.03239928185939789,22.961111111111112,0.0,40.00946044921875,0.017563415691256523,0.9896324872970581,0.9794682264328003,0.9794682264328003,True,0.8632519684987834,1.3400663569243778,1,0.737327319957504,0.8534518480300903,0.8542741537094116,0.999037504196167,0.0,0.9999999996613543,0.9813870191574097,0.9813870191574097,True,0.8825758074149657,1.2825892091910416,1,0.7606836036906025,0.8618643283843994,0.8622772097587585,0.9995211958885193,0.0,1.0000000193237482,0.980427622795105,0.980427622795105,0.8729138879568745,1.3113277830577097,1.0,0.7490054618240533,0.8576580882072449,0.8582756817340851,0.9992793500423431,0.0,1.0000000094925512,True,0.6162636876106262,11.517608642578125,40.00926971435547,5.420364773273468,1.364358424417026,6.620744466781616
0,0.25,l1,34,68,0.041550807654857635,28.906944444444445,0.0,44.113433837890625,0.019364986568689346,0.9998406171798706,0.3948828876018524,0.5459337830543518,False,0.2637296757530749,10.097974322127804,8,0.19875096642684453,0.7505468130111694,0.7535443902015686,0.99602210521698,0.0,0.9999999996613543,0.6065546274185181,0.6157239675521851,False,0.20053325216523718,10.41167385465997,11,0.1556347925962739,0.7759844064712524,0.780911922454834,0.993690013885498,0.0,1.0000000193237482,0.5007187575101852,0.5808288753032684,0.23213146395915601,10.254824088393887,9.5,0.1771928795115592,0.7632656097412109,0.7672281563282013,0.994856059551239,0.0,1.0000000094925512,False,0.88017737865448,15.466049194335938,44.11328887939453,15.0017094373703,6.678711878571777,6.575491189956665
0,0.5,l1,34,68,0.04484383761882782,30.638425925925926,0.0,46.447181701660156,0.020389456301927567,0.9977514743804932,0.4005664885044098,0.4827466607093811,False,0.1801697669057281,13.729142029212833,13,0.1381840147788936,0.7580841779708862,0.7617865800857544,0.9951398372650146,0.10904564653237371,0.9940367429300815,0.5932344198226929,0.6034597754478455,False,0.19493029499822304,11.095072541256666,14,0.15278589483598834,0.780838131904602,0.7855890989303589,0.9939523339271545,0.10769608630873435,0.9941838822075517,0.49690045416355133,0.5431032180786133,0.1875500309519756,12.41210728523475,13.5,0.14548495480744097,0.7694611549377441,0.7736878395080566,0.9945460855960846,0.10837086642055403,0.9941103125688167,False,1.0250110626220703,17.550701141357422,46.446983337402344,27.758642959594727,14.25898796476378,6.718242883682251
1,0.0,l1,34,68,0.03430822864174843,15.39861111111111,0.0,84.4718017578125,0.03708156570792198,0.9989100098609924,0.7158635258674622,0.728830099105835,False,0.2547963137450923,4.018625909068051,4,0.23261016667064643,0.9125816822052002,0.914106011390686,0.9983324408531189,0.0,0.9999999996613542,0.7008872032165527,0.7076506018638611,False,0.25563044137983015,4.017227897593312,4,0.22643655492119602,0.8854210376739502,0.8874818682670593,0.9976778626441956,0.0,1.0000000193237484,0.7083753645420074,0.718240350484848,0.2552133775624612,4.0179269033306815,4.0,0.22952336079592123,0.8990013599395752,0.9007939398288727,0.9980051517486572,0.0,1.0000000094925512,False,0.5211383104324341,8.618293762207031,84.470947265625,2.2447970628738405,0.49374521732654686,6.542392730712891
1,0.025,l1,34,68,0.02809269167482853,19.96064814814815,0.0,37.85105895996094,0.016615917906165123,0.9649724960327148,0.9895021915435791,0.9895021915435791,True,0.8975596734778805,1.2388039399633592,1,0.7744413052570346,0.8625608086585999,0.8629451394081116,0.9995546936988831,0.0,0.9999999996613542,0.9853146076202393,0.9853146076202393,True,0.9200096282680563,1.1805748888123195,1,0.7856904698034387,0.8528304100036621,0.855324923992157,0.9970834851264954,0.0,1.0000000193237486,0.9874083995819092,0.9874083995819092,0.9087846508729684,1.2096894143878394,1.0,0.7800658875302366,0.857695609331131,0.8591350317001343,0.9983190894126892,0.0,1.0000000094925514,True,0.5427347421646118,10.52060317993164,37.850738525390625,3.5931238412857054,0.59957070024003,6.635538339614868
1,0.0625,l1,34,68,0.030940743163228035,23.024074074074075,0.0,40.541419982910156,0.017796935513615608,0.9807335138320923,0.9465799927711487,0.9465799927711487,True,0.7664095034975643,1.689833469214444,1,0.6548700366030299,0.8541592955589294,0.8547213673591614,0.9993423819541931,0.0,0.9999999996613542,0.5817728638648987,0.9400674700737,False,0.7128988847562763,1.9362268921113999,1,0.6081602642976268,0.8530292510986328,0.8537326455116272,0.9991760849952698,0.0,1.0000000193237486,0.7641764283180237,0.9433237314224243,0.7396541941269204,1.8130301806629219,1.0,0.6315151504503284,0.8535942733287811,0.8542270064353943,0.9992592334747314,0.0,1.0000000094925514,False,0.6051504611968994,11.384075164794922,40.541297912597656,5.415796613693237,1.3309337507850307,6.534127950668335
1,0.25,l1,34,68,0.038732271641492844,28.824537037037036,0.0,42.368526458740234,0.018599001690745354,0.9979019165039062,0.4711949825286865,0.4711949825286865,False,0.10297416590097788,21.641535841117744,27,0.08031028540907698,0.7792783975601196,0.783942699432373,0.994050145149231,0.0,0.9999999996613542,0.5890698432922363,0.6341543197631836,False,0.22005734843161429,10.240049802730704,9,0.17324276826016655,0.7871608734130859,0.7912142872810364,0.9948769807815552,0.0,1.0000000193237484,0.5301324129104614,0.5526746511459351,0.16151575716629607,15.940792821924223,18.0,0.12677652683462176,0.7832196354866028,0.7875784933567047,0.9944635629653931,0.0,1.0000000094925512,False,0.7878534197807312,15.475481033325195,42.368221282958984,14.475004947185516,5.924579268780521,6.619349718093872
1,0.5,l1,34,68,0.04715004563331604,31.01064814814815,0.0,42.36581039428711,0.018597809597849846,0.9999852776527405,0.44759058952331543,0.44759058952331543,False,0.10814121780578444,19.466203554960867,21,0.08327020096647077,0.7700134515762329,0.775099515914917,0.993438184261322,0.0,0.9999999996613543,0.5803719758987427,0.6005945205688477,False,0.1891824407512281,12.138456922860255,13,0.15312369001794573,0.8093953728675842,0.8131676316261292,0.9953610301017761,0.0,1.0000000193237484,0.513981282711029,0.5240925550460815,0.14866182927850627,15.80233023891056,17.0,0.11819694549220824,0.7897044122219086,0.7941335737705231,0.9943996071815491,0.0,1.0000000094925514,False,0.8708080649375916,17.472698211669922,42.365440368652344,25.548067891597746,11.811297527492071,6.588486671447754
